Country_Name,Airplay,Railway,Ship,Road,Total
Austria,9536.80050046,0.0,3372.2100155,0.0,12909.010515959999
Belgium,15453.972399940001,0.0,816.5728563099999,0.0,16270.545256250001
Bulgaria,2501.70531958,0.0,5060.45284234,54404.982043852,61967.140205772
France,87645.49852537998,0.0,4036.2565316,0.0,91681.75505697998
Germany,293791.8174153,0.0,16829.9883823,3565.6816979,314187.4874955
Denmark,24358.77837756,0.0,182.148357691,0.0,24540.926735251
Estonia,0.0,0.0,0.0,0.0,0.0
United Kingdom,221619.37412383,0.0,3763.9325414100003,0.0,225383.30666524
Ireland,1993.414422411,0.0,91.074178846,0.0,2084.488601257
Spain,1235.811279266,0.0,520.27561131,0.0,1756.0868905759999
Italy,25766.068587,0.0,8005.8000028999995,0.0,33771.8685899
Cyprus,33085.7473672,0.0,97.30352817800001,0.0,33183.050895378
Latvia,461.278277926,0.0,0.0,0.0,461.278277926
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,3036.6654519400004,0.0,0.0,0.0,3036.6654519400004
Malta,0.0,0.0,0.0,0.0,0.0
Netherlands,47100.17976111,0.0,1725.12248922,0.0,48825.302250329994
Hungary,262.476091942,0.0,486.51764088999994,0.0,748.993732832
Poland,7046.7853374999995,0.0,0.0,2634.6617072,9681.447044699999
Portugal,0.0,0.0,0.0,0.0,0.0
Romania,11501.728400670001,0.0,547.35841317,9138.982796799999,21188.06961064
Slovakia,1710.6307978579998,0.0,267.476333446,0.0,1978.1071313039997
Slovenia,90.37378524370001,0.0,434.64904184,0.0,525.0228270837
Sweden,27940.9921301,0.0,276.74241388400003,891.42042447,29109.154968454
Czech Republic,13000.50618969,0.0,3841.972196391,0.0,16842.478386081002
Finland,25582.93215043,0.0,0.0,0.0,25582.93215043
Albania,230.639138963,0.0,272.83487199800004,28144.495433,28647.969443961
Switzerland,58231.49012947,0.0,4439.510539389999,0.0,62671.000668860004
Norway,8219.420459100002,0.0,0.0,0.0,8219.420459100002
Iceland,0.0,0.0,0.0,0.0,0.0
Russia,60200.11741023001,0.0,229.346772392,493.9990701,60923.463252722
Servia-Montenegro,180.7475704854,0.0,0.0,8778.026962689999,8958.7745331754
Other European countries,7396.163344162999,0.0,846.5806191239999,60843.860312690005,69086.604275977
Japan,585.4106338089999,0.0,0.0,0.0,585.4106338089999
Iran,188.825521065,0.0,273.679206581,0.0,462.504727646
Israel,35057.66220315999,0.0,0.0,0.0,35057.66220315999
China,4065.64833205,0.0,0.0,0.0,4065.64833205
Lebanon-Syria,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0
Turkey,2739.8768562,0.0,3983.5065542,51448.711712000004,58172.0951224
Other Middle East countries,914.4311259209999,0.0,273.679206581,0.0,1188.110332502
Other Asian countries,2607.3656968220002,0.0,0.0,4422.5253622,7029.891059022
Egypt-Sudan,433.884252036,0.0,0.0,0.0,433.884252036
South Africa,1565.945522857,0.0,0.0,0.0,1565.945522857
Other African Countries,0.0,0.0,309.269510548,0.0,309.269510548
Argentina,0.0,0.0,0.0,0.0,0.0
Brazil,6560.505754860001,0.0,0.0,0.0,6560.505754860001
Mexico,0.0,0.0,0.0,0.0,0.0
United States,66741.800544527,0.0,217.324520922,0.0,66959.125065449
Canada,14589.965848179998,0.0,0.0,0.0,14589.965848179998
Other countries of America,1409.8068096099998,0.0,0.0,0.0,1409.8068096099998
Australia,15545.85881582,0.0,314.6280491,0.0,15860.48686492
Other Oceanian countries,487.997682953,0.0,0.0,0.0,487.997682953
Non-identifiable countries Travelers ,,,,,0.0
